household_key,total_baskets,unique_products,total_items,total_spend,avg_transaction_value,day_span,active_weeks,total_retail_discount,total_coupon_discount,total_coupon_match_discount,unique_stores_visited,top_department,top_dept_spend,campaigns_participated,coupons_redeemed,basket_frequency,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC
37,63,206,73708,2976.66,8.110790190735694,623,46,-544.94,-2.5,0.0,12,GROCERY,2147.05,2,0,0.10112359550561797,,,,,,,
38,27,133,275,706.13,4.869862068965517,449,22,-59.16,-2.5,0.0,4,GROCERY,417.44,1,0,0.060133630289532294,,,,,,,
39,64,1244,13778,5033.66,2.7077245831091985,659,50,-812.21,-15.790000000000001,-5.55,3,GROCERY,3291.68,5,0,0.09711684370257967,35-44,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown
40,400,1525,1240414,12907.89,3.4338627294493214,635,90,-1293.56,-26.15,-1.15,7,GROCERY,3653.03,11,13,0.6299212598425197,45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
41,73,355,1467,3107.13,2.961992373689228,636,58,-613.95,0.0,0.0,2,GROCERY,1738.44,1,0,0.11477987421383648,,,,,,,
42,89,305,1381,1985.86,2.0837985309548794,610,77,-545.77,-15.75,-5.8,1,GROCERY,883.29,3,0,0.14590163934426228,65+,U,50-74K,Unknown,Single Male,1,None/Unknown
43,106,245,43026,884.84,2.2923316062176164,595,57,-88.39,-6.1,-1.1,2,DRUG GM,432.83,5,0,0.1781512605042017,35-44,B,15-24K,Homeowner,2 Adults Kids,5+,3+
44,32,278,395,877.76,2.6679635258358663,547,26,-133.74,0.0,0.0,8,GROCERY,549.63,0,0,0.05850091407678245,,,,,,,
45,57,158,302,807.09,3.405443037974684,487,37,-64.5,-2.0,0.0,2,GROCERY,349.21,1,0,0.11704312114989733,,,,,,,
46,137,1308,94957,8433.43,4.052585295530995,697,70,-1523.45,-19.97,0.0,8,GROCERY,4183.7300000000005,9,2,0.19655667144906744,45-54,A,150-174K,Homeowner,2 Adults Kids,5+,3+
47,111,450,760,2329.13,3.714720893141946,599,61,-293.55,0.0,0.0,11,GROCERY,1238.75,3,0,0.18530884808013356,,,,,,,
48,50,253,41593,1172.83,3.285238095238095,597,33,-211.2,-5.5,0.0,1,GROCERY,539.48,2,0,0.08375209380234507,19-24,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
49,121,1044,439122,6445.03,3.7427584204413473,641,65,-1453.55,-13.34,-0.75,5,GROCERY,3362.09,6,0,0.18876755070202808,35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
50,15,116,146,351.39,2.788809523809524,562,13,-38.3,0.0,0.0,3,GROCERY,264.93,0,0,0.026690391459074734,,,,,,,
51,83,450,1264,3046.86,3.30104008667389,696,58,-351.69,-0.55,-0.45,2,GROCERY,1715.36,4,0,0.11925287356321838,,,,,,,
52,139,1015,201452,5487.28,3.2976442307692304,698,78,-565.3,-1.0,0.0,8,GROCERY,3001.63,6,0,0.1991404011461318,45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
53,56,332,83737,1962.26,3.4007972270363953,633,44,-379.34,-1.5,-1.5,2,GROCERY,985.38,0,0,0.08846761453396525,,,,,,,
54,11,33,42,103.09,3.032058823529412,461,11,-18.53,0.0,0.0,5,GROCERY,78.83,0,0,0.02386117136659436,,,,,,,
55,141,240,425,1072.79,2.7864675324675323,636,74,-194.34,0.0,0.0,3,GROCERY,554.67,4,0,0.22169811320754718,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
56,201,1107,11135,6691.53,2.839002969876962,613,80,-1233.96,-39.22,-8.55,2,GROCERY,3721.96,2,2,0.3278955954323002,55-64,A,100-124K,Homeowner,2 Adults Kids,4,2
57,194,514,141557,3105.87,3.409297475301866,657,76,-500.36,-5.84,-0.45,13,GROCERY,1089.26,4,0,0.2952815829528158,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
58,268,1386,1209027,10367.08,3.53946056674633,630,90,-1542.95,-58.25,-12.8,8,GROCERY,4321.92,10,7,0.4253968253968254,25-34,A,150-174K,Homeowner,2 Adults Kids,4,2
59,44,384,35749,1688.33,3.424604462474645,617,29,-365.8,-31.38,-7.3,6,GROCERY,865.27,0,0,0.0713128038897893,,,,,,,
60,8,98,11181,400.94,3.7471028037383176,606,7,-216.37,0.0,0.0,2,GROCERY,153.4,0,0,0.013201320132013201,,,,,,,
61,11,40,64,183.8,4.595000000000001,617,11,-52.91,0.0,0.0,4,GROCERY,135.02,0,0,0.017828200972447326,,,,,,,
62,33,184,270,359.29,1.460528455284553,603,23,-72.99,-2.05,-0.3,3,GROCERY,220.55,0,0,0.05472636815920398,,,,,,,
63,33,65,161,589.6,4.832786885245902,625,30,-72.64,0.0,0.0,1,DRUG GM,224.84,0,0,0.0528,,,,,,,
64,264,760,1869,3917.81,2.7766194188518782,701,75,-562.9,-3.05,-0.95,8,GROCERY,1808.97,4,0,0.37660485021398005,,,,,,,
65,122,423,606,2042.17,3.8531509433962268,635,64,-229.22,-10.72,0.0,5,GROCERY,862.93,6,0,0.1921259842519685,,,,,,,
66,29,163,243,395.95,2.1636612021857924,567,18,-82.78,0.0,0.0,7,GROCERY,212.55,0,0,0.05114638447971781,,,,,,,
67,227,1322,340342,9618.9,3.458791801510248,606,82,-2473.85,-230.25,-57.64,11,GROCERY,5426.22,8,30,0.37458745874587457,45-54,A,Under 15K,Homeowner,2 Adults Kids,5+,3+
68,553,962,203275,4960.77,2.2559208731241474,701,98,-968.9,-39.69,-6.2,9,GROCERY,2903.7,10,1,0.7888730385164051,,,,,,,
69,183,1190,2888,5704.34,2.725437171524128,625,69,-1040.63,-0.75,-0.75,16,GROCERY,3246.26,7,0,0.2928,,,,,,,
70,32,21,51,76.4,1.6255319148936171,697,21,-10.71,0.0,0.0,1,DRUG GM,28.16,0,0,0.04591104734576758,,,,,,,
71,90,407,12505,3376.03,5.092051282051282,648,63,-530.38,-39.75,-1.25,2,DRUG GM,1674.79,2,0,0.1388888888888889,35-44,A,25-34K,Homeowner,Single Female,2,None/Unknown
72,107,1030,140869,6473.43,2.502292230382683,620,71,-1002.16,-15.790000000000001,-0.8,10,GROCERY,3711.11,7,0,0.17258064516129032,,,,,,,
73,164,515,215984,2864.18,3.8862686567164175,603,56,-242.74,-0.55,0.0,4,GROCERY,1283.5,4,0,0.27197346600331673,,,,,,,
74,131,412,1480,2047.64,1.959464114832536,623,68,-864.83,-19.25,-0.75,2,GROCERY,1114.01,5,0,0.2102728731942215,65+,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
75,64,148,222787,1167.09,5.052337662337662,620,48,-177.13,-12.69,0.0,5,GROCERY,517.54,0,0,0.1032258064516129,,,,,,,
76,16,103,164,315.94,2.980566037735849,667,14,-76.57,0.0,0.0,4,GROCERY,153.47,0,0,0.0239880059970015,,,,,,,
77,87,1313,2951,6227.1,2.5241588974462914,705,66,-1260.28,-26.85,-6.15,6,GROCERY,3991.02,2,1,0.12340425531914893,35-44,A,100-124K,Homeowner,2 Adults Kids,5+,3+
78,210,390,1546,2505.14,2.4134296724470135,621,81,-400.63,0.0,0.0,6,GROCERY,1666.3700000000001,5,0,0.33816425120772947,55-64,U,25-34K,Unknown,Single Male,1,None/Unknown
79,154,761,241704,3950.12,3.1727871485943773,606,74,-780.47,-48.15,-12.6,8,GROCERY,1673.42,1,1,0.25412541254125415,,,,,,,
80,94,824,134902,3002.09,2.518531879194631,641,57,-846.51,-25.8,-1.6,10,GROCERY,1358.1,2,1,0.14664586583463338,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
81,152,1013,2942,5553.7,2.680357142857143,658,73,-1142.24,-89.43,0.0,9,GROCERY,3110.73,4,0,0.23100303951367782,,,,,,,
82,51,70,148,566.51,4.568629032258064,627,46,-90.54,0.0,0.0,1,MEAT,321.46,0,0,0.08133971291866028,,,,,,,
83,110,290,42133,1183.74,3.2790581717451524,670,63,-183.92000000000002,0.0,0.0,6,GROCERY,580.84,1,0,0.16417910447761194,,,,,,,
84,52,336,8701,1208.09,2.6092656587473,651,36,-150.85,-1.3,-0.7,4,GROCERY,737.6800000000001,0,0,0.07987711213517665,,,,,,,
85,282,963,133187,4696.49,2.7022382048331415,693,91,-948.81,-4.05,-0.45,7,GROCERY,2369.94,8,0,0.4069264069264069,25-34,U,35-49K,Unknown,Single Male,1,None/Unknown
86,46,757,16370,4019.44,3.7600000000000002,605,33,-516.38,-2.5,0.0,5,GROCERY,2315.05,2,0,0.07603305785123966,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown
87,45,197,400,1202.3,3.435142857142857,622,39,-82.0,-3.0,0.0,5,NUTRITION,468.86,0,0,0.07234726688102894,,,,,,,
88,229,1994,302041,11615.66,2.2807107795012764,621,87,-2233.1,-121.17,-32.4,7,GROCERY,6979.72,12,7,0.3687600644122383,,,,,,,
89,11,46,52,177.56,3.777872340425532,528,11,-9.93,0.0,0.0,1,DRUG GM,142.47,0,0,0.020833333333333332,,,,,,,
90,10,109,16694,490.41,3.1844805194805197,588,9,-57.21,0.0,0.0,3,GROCERY,267.31,0,0,0.017006802721088437,,,,,,,
91,181,463,310157,2899.66,3.5361707317073168,654,60,-302.99,0.0,0.0,11,GROCERY,1511.0,2,0,0.27675840978593275,,,,,,,
92,57,553,11137,1587.38,2.1335752688172045,604,48,-441.19,0.0,0.0,2,GROCERY,687.4,1,0,0.09437086092715231,,,,,,,
93,106,485,23269,3346.7200000000003,2.6290023566378635,543,71,-596.15,-130.03,-12.19,2,GROCERY,2314.7400000000002,12,8,0.19521178637200737,,,,,,,
94,36,119,17964,442.64,3.1617142857142855,611,30,-109.27,-1.5,0.0,2,GROCERY,139.88,0,0,0.058919803600654665,,,,,,,
95,308,1192,451641,6500.18,3.079194694457603,621,87,-1937.51,-41.91,-0.25,5,GROCERY,3224.65,5,0,0.49597423510466987,,,,,,,
96,59,254,415,1182.43,3.572296072507553,687,35,-169.06,0.0,0.0,2,GROCERY,514.08,2,0,0.0858806404657933,,,,,,,
97,180,968,390421,5323.95,2.9284653465346535,663,81,-982.49,-0.35,-0.35,6,GROCERY,2831.03,4,0,0.27149321266968324,45-54,U,75-99K,Unknown,Single Female,1,None/Unknown
98,205,683,1810,2547.3,1.8995525727069353,709,72,-526.12,-2.0,0.0,6,GROCERY,1878.29,2,0,0.28913963328631875,35-44,U,35-49K,Unknown,1 Adult Kids,2,1
99,255,1327,51390,6926.15,2.4639452152258983,623,86,-1164.32,-57.1,-5.45,6,GROCERY,4000.97,4,4,0.40930979133226325,,,,,,,
100,33,432,139469,2294.62,3.5630745341614904,685,27,-388.27,-5.5,-0.5,3,GROCERY,1146.44,0,0,0.04817518248175182,,,,,,,
101,242,574,352333,6651.58,5.7046140651801025,592,75,-2086.67,-52.44,-3.45,5,GROCERY,3923.75,5,5,0.40878378378378377,45-54,A,Under 15K,Homeowner,2 Adults Kids,4,2
102,8,92,139,304.84000000000003,2.8758490566037738,131,6,-53.16,-2.5,0.0,2,GROCERY,184.66,0,0,0.061068702290076333,,,,,,,
103,51,208,283,541.99,2.16796,618,29,-100.46,-7.23,0.0,4,GROCERY,259.37,1,0,0.0825242718446602,,,,,,,
104,128,1065,40951,6546.74,2.7565221052631577,599,67,-1547.87,-167.11,-39.7,4,GROCERY,3628.64,8,4,0.21368948247078465,35-44,A,35-49K,Homeowner,2 Adults Kids,5+,3+
105,169,1253,2994,4591.67,1.9547339293316306,702,74,-1314.32,-25.63,-11.35,3,GROCERY,2433.42,8,8,0.24074074074074073,25-34,B,Under 15K,Homeowner,1 Adult Kids,3,2
106,67,338,193359,2014.66,4.332602150537634,607,33,-199.63,-0.75,0.0,6,GROCERY,780.58,0,0,0.11037891268533773,,,,,,,
107,41,197,116913,1222.83,4.667290076335878,616,22,-173.37,0.0,0.0,6,GROCERY,379.25,0,0,0.06655844155844155,,,,,,,
108,62,646,69520,2671.16,3.0285260770975055,605,38,-373.27,-1.5,0.0,5,GROCERY,1156.38,4,0,0.1024793388429752,,,,,,,
109,104,774,1544,3501.07,2.4262439362439365,593,65,-452.3,-1.25,-0.75,4,GROCERY,2050.66,4,0,0.17537942664418213,25-34,A,15-24K,Homeowner,Single Female,2,None/Unknown
110,185,848,192457,3461.32,2.415436147941382,644,78,-595.76,-1.25,-0.25,14,GROCERY,1767.29,4,0,0.28726708074534163,25-34,U,35-49K,Homeowner,Single Female,1,None/Unknown
111,51,480,37164,1515.65,2.538777219430486,674,36,-353.06,-17.490000000000002,-4.25,4,GROCERY,817.5600000000001,1,0,0.07566765578635015,,,,,,,
112,80,196,187947,1342.65,5.737820512820513,656,52,-85.27,-1.0,0.0,5,KIOSK-GAS,455.38,1,0,0.12195121951219512,,,,,,,
113,223,2013,1074819,15324.95,3.4679678660330393,613,88,-2198.01,-83.38,-13.55,6,GROCERY,7333.93,11,2,0.3637846655791191,35-44,A,125-149K,Homeowner,2 Adults Kids,4,2
114,88,684,68156,3315.63,3.125004712535344,701,64,-530.12,-1.4,-0.4,5,GROCERY,1819.01,4,0,0.12553495007132667,25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
115,201,1261,998548,13262.1,4.392878436568401,669,89,-1630.29,-116.61,-13.6,6,GROCERY,5485.45,10,16,0.3004484304932735,,,,,,,
116,83,169,389,647.72,2.082700964630225,665,60,-262.26,-8.85,-1.25,2,GROCERY,501.08,2,0,0.12481203007518797,,,,,,,
117,94,717,26693,2568.21,1.861021739130435,681,73,-544.01,-13.3,-4.2,5,GROCERY,1558.69,7,7,0.13803230543318648,65+,B,35-49K,Probable Owner,2 Adults No Kids,2,None/Unknown
118,90,583,194723,4526.21,2.9144945267224727,606,66,-541.97,-1.5,-0.5,6,GROCERY,2829.3,5,0,0.1485148514851485,45-54,B,35-49K,Homeowner,Single Female,1,None/Unknown
119,62,595,842,2593.01,3.393992146596859,649,41,-209.62,-7.24,0.0,10,GROCERY,1192.61,2,0,0.09553158705701079,45-54,U,125-149K,Unknown,Single Male,1,None/Unknown
120,19,23,18883,242.32,7.5725,601,16,-6.75,0.0,0.0,5,SALAD BAR,88.26,0,0,0.03161397670549085,,,,,,,
121,112,625,15773,2225.58,2.578887601390498,555,47,-401.37,-4.5,0.0,10,GROCERY,1128.93,3,0,0.2018018018018018,45-54,U,25-34K,Unknown,2 Adults Kids,3,1
122,132,537,1068,2354.22,3.177085020242915,668,62,-681.42,-6.54,-0.75,1,GROCERY,1111.41,5,0,0.19760479041916168,,,,,,,
123,174,583,113843,3222.65,2.5335298742138366,609,82,-740.26,-4.0,0.0,9,GROCERY,1591.11,3,0,0.2857142857142857,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
124,61,162,300,683.41,2.9330901287553646,649,42,-145.19,-4.3500000000000005,-3.85,5,GROCERY,330.42,0,0,0.09399075500770417,,,,,,,
125,358,1397,972069,10601.5,4.269633507853404,692,98,-1945.21,-139.95,-16.55,4,GROCERY,4169.66,10,2,0.5173410404624278,,,,,,,
126,31,264,401,853.45,2.66703125,611,24,-184.9,0.0,0.0,8,GROCERY,510.66,0,0,0.05073649754500818,,,,,,,
127,191,890,317269,4658.2300000000005,3.1688639455782317,615,70,-1308.52,-102.15,-35.7,5,GROCERY,2124.6,4,4,0.3105691056910569,45-54,U,25-34K,Unknown,Single Female,1,None/Unknown
128,41,252,41235,1381.08,2.790060606060606,692,30,-197.03,0.0,0.0,3,GROCERY,553.32,0,0,0.059248554913294796,,,,,,,
129,40,169,319,475.73,1.836795366795367,575,32,-76.26,-1.0,0.0,2,GROCERY,279.71,0,0,0.06956521739130435,,,,,,,
130,20,121,32624,511.62,3.3882119205298014,312,15,-55.73,0.0,0.0,2,GROCERY,175.31,0,0,0.0641025641025641,,,,,,,
131,354,1317,132330,6156.22,3.034115327747659,684,92,-1213.85,-71.17,-2.3,16,GROCERY,2829.62,7,0,0.5175438596491229,45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown
132,98,610,12539,2875.2400000000002,2.697223264540338,669,59,-497.04,0.0,0.0,1,GROCERY,1338.58,6,0,0.14648729446935724,,,,,,,
133,75,741,1684,3823.89,3.3367277486910996,603,59,-882.63,-31.28,-1.2,4,GROCERY,1879.38,4,0,0.12437810945273632,45-54,A,Under 15K,Homeowner,Single Male,2,None/Unknown
134,86,1102,41438,5535.09,3.465929868503444,674,57,-1213.79,-22.9,-2.65,3,GROCERY,3367.07,6,0,0.12759643916913946,55-64,A,25-34K,Homeowner,Single Female,2,None/Unknown
135,74,179,309,717.5,2.3758278145695364,637,59,-104.46,-2.25,-0.75,2,GROCERY,379.92,0,0,0.11616954474097331,,,,,,,
136,77,773,1485,2804.82,2.274793187347932,584,44,-610.66,-2.5,0.0,2,GROCERY,1828.81,3,0,0.13184931506849315,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown
137,38,298,500,1062.17,2.8400267379679147,526,32,-273.93,-13.75,-1.75,2,GROCERY,538.78,1,0,0.07224334600760456,,,,,,,
138,68,757,1765,3529.19,3.2230045662100455,637,51,-742.03,-17.6,-1.15,7,GROCERY,1859.97,2,0,0.10675039246467818,,,,,,,
139,83,594,123816,3073.33,2.8404158964879853,635,51,-484.84,-39.95,-2.1,4,GROCERY,1470.34,2,9,0.13070866141732285,35-44,B,75-99K,Homeowner,Single Male,1,None/Unknown
140,140,412,923,1720.64,2.4721839080459773,654,46,-341.2,-3.8,0.0,4,GROCERY,1255.8,3,0,0.21406727828746178,,,,,,,
141,52,169,14709,448.34000000000003,2.2643434343434343,661,40,-61.22,0.0,0.0,16,GROCERY,143.35,0,0,0.07866868381240545,,,,,,,
142,176,258,1242,2324.19,2.773496420047733,692,95,-396.07,0.0,0.0,3,GROCERY,1752.53,7,0,0.2543352601156069,,,,,,,
143,408,1244,310038,6574.2300000000005,2.5842099056603773,612,72,-1537.76,-72.8,-13.55,12,GROCERY,3330.92,6,3,0.6666666666666666,,,,,,,
144,88,495,947,2126.31,3.402096,554,44,-462.78,0.0,0.0,5,GROCERY,1157.57,4,0,0.1588447653429603,,,,,,,
145,59,400,641,1470.49,3.0957684210526315,639,41,-377.75,-4.85,-0.35,2,GROCERY,733.53,1,0,0.09233176838810642,,,,,,,
146,41,282,27837,843.02,2.2908152173913043,678,28,-214.26,-3.05,-0.45,5,GROCERY,453.1,0,0,0.06047197640117994,,,,,,,
147,36,520,80714,1487.21,2.0742119944211996,631,29,-715.7,-2.05,0.0,4,GROCERY,810.43,0,0,0.05705229793977813,,,,,,,
148,55,307,452,1231.76,3.2414736842105265,606,37,-133.34,-2.55,-0.45,7,GROCERY,621.75,0,0,0.09075907590759076,,,,,,,
149,215,1229,1241140,11920.93,3.8679201817001947,609,70,-1258.88,-4.5,0.0,3,GROCERY,5027.43,8,0,0.3530377668308703,45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
150,6,70,100,230.35,3.2907142857142855,523,5,-52.18,0.0,0.0,1,GROCERY,144.27,0,0,0.011472275334608031,,,,,,,
151,49,284,55969,1226.14,2.9474519230769234,590,32,-353.82,-16.94,-5.1,4,GROCERY,561.68,1,0,0.08305084745762711,,,,,,,
152,37,329,670,1454.28,3.2607174887892376,658,28,-462.17,-15.84,-6.25,3,GROCERY,849.59,0,0,0.05623100303951368,,,,,,,
153,92,436,5763,1558.65,1.3991472172351886,625,54,-316.8,-11.48,-1.05,14,GROCERY,1237.07,0,0,0.1472,,,,,,,
154,30,218,24034,867.1800000000001,3.164890510948905,525,20,-134.83,0.0,0.0,1,GROCERY,505.59000000000003,0,0,0.05714285714285714,,,,,,,
155,52,399,15768,2101.05,2.963399153737659,595,39,-342.88,-5.45,-0.4,4,GROCERY,1417.24,2,0,0.08739495798319327,35-44,B,50-74K,Homeowner,2 Adults Kids,3,1
156,587,1160,334611,5224.07,2.5570582476749877,595,85,-756.59,-26.44,-4.5,6,GROCERY,2149.25,8,2,0.9865546218487395,,,,,,,
157,172,688,16281,2748.9500000000003,2.8997362869198313,683,78,-430.08,-0.25,-0.25,5,GROCERY,1704.1100000000001,5,0,0.2518301610541728,19-24,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
158,180,247,617,1869.79,3.2918838028169013,589,80,-402.88,-125.19,-28.3,3,DRUG GM,933.0699999999999,4,1,0.30560271646859083,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown
159,86,634,7280,2143.87,2.163340060544904,619,53,-425.97,-2.0,0.0,7,GROCERY,1162.71,0,0,0.13893376413570274,45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
160,57,375,44250,1536.09,2.92032319391635,632,46,-232.59,-1.0,0.0,6,GROCERY,676.78,1,0,0.09018987341772151,,,,,,,
161,266,854,102543,6071.52,3.025171898355755,609,61,-1204.96,-3.34,-0.45,7,GROCERY,3996.92,3,0,0.4367816091954023,19-24,A,75-99K,Unknown,2 Adults Kids,3,1
162,71,430,1086,3037.54,3.3016739130434782,686,60,-301.99,0.0,0.0,6,GROCERY,2170.26,4,0,0.10349854227405247,,,,,,,
163,17,104,13578,272.52,2.4774545454545454,590,11,-34.42,-2.5,0.0,5,GROCERY,139.05,0,0,0.0288135593220339,,,,,,,
